variant,scenario,activated_users,paid_conversion_pct,paid_users,weighted_subscription_usd,crystal_attach_pct,gross_revenue_usd,variable_cost_usd,contribution_usd,contribution_per_payer_usd,arppu_usd
A,conservative,1000,5.0,50.0,23.29,12.0,1224.44,33.23,823.88,16.48,24.49
A,base,1000,7.5,75.0,28.84,23.0,2594.08,70.86,1745.0,23.27,34.59
A,upside,1000,10.0,100.0,33.94,32.0,5313.68,134.72,3584.86,35.85,53.14
B,conservative,1000,5.0,50.0,28.59,12.0,1489.44,33.23,1009.38,20.19,29.79
B,base,1000,7.5,75.0,34.19,23.0,2995.33,70.86,2025.87,27.01,39.94
B,upside,1000,10.0,100.0,39.39,32.0,5858.68,134.72,3966.36,39.66,58.59
C,conservative,1000,5.0,50.0,26.09,12.0,1364.44,33.23,921.88,18.44,27.29
C,base,1000,7.5,75.0,32.84,23.0,2894.08,70.86,1955.0,26.07,38.59
C,upside,1000,10.0,100.0,38.64,32.0,5783.68,134.72,3913.86,39.14,57.84
