GET /api/share/enabled                        auth=флаг доступности шаринга (доступен до входа, чтобы спрятать кнопку), без пользовательских данных rate_limit=-
GET /api/shop                                 auth=confirmed_age_user,current_user rate_limit=-
POST /api/shop/invoice                        auth=confirmed_age_user,current_user,guard rate_limit=yes
POST /api/shop/web-checkout                   auth=confirmed_age_user,current_user,guard rate_limit=yes
POST /api/shop/subscription/cancel            auth=confirmed_age_user,current_user,guard rate_limit=yes
POST /api/shop/crypto-invoice                 auth=confirmed_age_user,current_user,guard rate_limit=yes
POST /api/shop/crystals                       auth=confirmed_age_user,current_user,guard rate_limit=yes
POST /api/shop/promo                          auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/shop/orders                          auth=confirmed_age_user,current_user rate_limit=-
GET /api/shop/payment-history                 auth=confirmed_age_user,current_user rate_limit=-
GET /api/shop/crystals/history                auth=confirmed_age_user,current_user rate_limit=-
POST /api/webhooks/paddle                     auth=Paddle-Signature HMAC проверяется в теле ручки rate_limit=-
POST /api/webhooks/cryptobot                  auth=Crypto Pay signature проверяется в теле ручки rate_limit=-
GET /api/admin/me                             auth=current_admin,guard rate_limit=yes
GET /api/admin/health                         auth=current_admin,guard rate_limit=yes
GET /api/admin/dashboard                      auth=current_admin,guard rate_limit=yes
GET /api/admin/dashboard/demo                 auth=current_admin,guard rate_limit=yes
GET /api/admin/payment-health                 auth=current_admin,guard rate_limit=yes
GET /api/admin/reconciliation                 auth=current_admin,guard rate_limit=yes
GET /api/admin/reconciliation/{order_id}      auth=current_admin,guard rate_limit=yes
POST /api/admin/reconciliation/{order_id}/review auth=current_admin,guard rate_limit=yes
GET /api/admin/reconciliation/export          auth=current_admin,guard rate_limit=yes
GET /api/admin/payment-notifications          auth=current_admin,guard rate_limit=yes
PATCH /api/admin/payment-notifications        auth=current_admin,guard rate_limit=yes
GET /api/admin/events                         auth=current_admin,guard rate_limit=yes
GET /api/admin/costs                          auth=current_admin,guard rate_limit=yes
GET /api/admin/safety                         auth=current_admin,guard rate_limit=yes
GET /api/admin/safety/incidents               auth=current_admin,guard rate_limit=yes
GET /api/admin/horoscopes                     auth=current_admin,guard rate_limit=yes
POST /api/admin/horoscopes/build              auth=current_admin,guard rate_limit=yes
GET /api/admin/users                          auth=current_admin,guard rate_limit=yes
GET /api/admin/users/{tg_id}                  auth=current_admin,guard rate_limit=yes
POST /api/admin/users/{tg_id}/notes           auth=current_admin,guard rate_limit=yes
DELETE /api/admin/notes/{note_id}             auth=current_admin,guard rate_limit=yes
POST /api/admin/users/{tg_id}/tags            auth=current_admin,guard rate_limit=yes
DELETE /api/admin/users/{tg_id}/tags/{tag}    auth=current_admin,guard rate_limit=yes
GET /api/admin/tags                           auth=current_admin,guard rate_limit=yes
POST /api/admin/users/{tg_id}/grant           auth=current_admin,guard rate_limit=yes
POST /api/admin/users/{tg_id}/status          auth=current_admin,guard rate_limit=yes
POST /api/admin/users/{tg_id}/message         auth=current_admin,guard rate_limit=yes
POST /api/admin/users/{tg_id}/anonymize       auth=current_admin,guard rate_limit=yes
GET /api/admin/content                        auth=current_admin,guard rate_limit=yes
POST /api/admin/content                       auth=current_admin,guard rate_limit=yes
DELETE /api/admin/content/{kind}/{code}       auth=current_admin,guard rate_limit=yes
GET /api/admin/settings                       auth=current_admin,guard rate_limit=yes
POST /api/admin/settings                      auth=current_admin,guard rate_limit=yes
GET /api/admin/flags                          auth=current_admin,guard rate_limit=yes
POST /api/admin/flags                         auth=current_admin,guard rate_limit=yes
GET /api/admin/plans                          auth=current_admin,guard rate_limit=yes
POST /api/admin/plans                         auth=current_admin,guard rate_limit=yes
GET /api/admin/products                       auth=current_admin,guard rate_limit=yes
POST /api/admin/products                      auth=current_admin,guard rate_limit=yes
GET /api/admin/orders                         auth=current_admin,guard rate_limit=yes
POST /api/admin/orders/{order_id}/refund      auth=current_admin,guard rate_limit=yes
GET /api/admin/promo                          auth=current_admin,guard rate_limit=yes
GET /api/admin/promo/redemptions              auth=current_admin,guard rate_limit=yes
POST /api/admin/promo                         auth=current_admin,guard rate_limit=yes
